pr;DB;Interpreter;Logging;Thread;Data Structure;DevOps;i18n;Logic;Microservices;ML;Test;Search;IO;UI;Parser;Security;Cloud;Big Data;App;GIS;Util;NLP;APM;Network;Title;Body;prIssue;issue;issueTitle;issueBody;issueComments;issueTitleLink;issueBodyLink;issueCommentsLink;isPR;isTrain;commitMessage;Comments
2942;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;moe sync;;;0;moe sync;;;;;;1;1;propagate close for to the inputs of streamszip and streamsmapwithindex-------------created by moe: https://githubcom/google/moemoe_migrated_revid169073180;
2942;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;moe sync;;;0;add multimap_agg aggregation function;```multimap_agg(key value isdistinctvalue issortvalue) → map<karray<v>>    returns a multimap created from the input key / value pairs     difference from map_agg() is each key can be associated with multiple values    value array will be distinct if isdistinctvalue is true    value array will be sorted if issortvalue is true```;"whats your use case for this? does the following sql equivalent work for you?```select map_agg(k v)from(select k array_agg(v) as vfrom group by k)``` || @cberner thanks for your reply these two queries are equivalent actually we have considered to use the query you mentioned here is our thoughtswith the multimap_agg it benefits us:- simple query  -  `select multimap(k v) from table` is much easier to write/understand for our users than the two level query  - easier to generate query we have a query generate portal which is a ui tool for our users to generate presto queries with multimap_agg its also much easier for this tool to generate queries- performance  -  the performance of `multimap_agg` is better `multimap_agg` will only have one shuffle stage(aggregate) but `map_agg` + `array_agg` involves two shuffles it will be great if we can have some optimizers to avoid the second shuffle cause  map_agg`  -  please find the query plan below which shows the difference between these two approaches- query plans comparison  for each customer get orderdates of orderpriority   - query plan using `multimap_agg` (**one shuffle**)``` sqlpresto:default> explain select custkey multimap_agg(orderpriority orderdate false false)             -> from tpchtinyorders             -> group by custkey                                                                    query plan--------------------------------------------------------------------------------------------------------------------------------------------------- - output[custkey _col1] > [custkey:bigint multimap_agg:map<varchararray<date>>]         _col1 : multimap_agg     - exchange[gather] > custkey:bigint multimap_agg:map<varchararray<date>>         - aggregate(final)[custkey] > [custkey:bigint multimap_agg:map<varchararray<date>>]                 multimap_agg : ""multimap_agg""(""multimap_agg_10"")             - exchange[repartition] > custkey:bigint multimap_agg_10:varbinary                 - aggregate(partial)[custkey] > [custkey:bigint multimap_agg_10:varbinary]                         multimap_agg_10 : ""multimap_agg""(""orderpriority"" ""orderdate"" ""expr"" ""expr"")                     - project > [custkey:bigint orderpriority:varchar orderdate:date expr:boolean]                             expr : false                         - tablescan[tpch orders:sf001 original constrainttrue] > [custkey:bigint orderdate:date orderpriority:varchar]                                 custkey : tpch 1                                 orderdate : tpch 4                                 orderpriority : tpch 5(1 row)```- query plan using `map_agg` + `array_agg` (**two shuffle**)``` sqlpresto:default> explain select custkey map_agg(orderpriority orderdate_array)             -> from (             ->     select custkey orderpriority array_agg(orderdate) orderdate_array             ->     from tpchtinyorders             ->     group by custkey orderpriority             -> )             -> group by custkey                                                                        query plan----------------------------------------------------------------------------------------------------------------------------------------------------------- - output[custkey _col1] > [custkey:bigint map_agg:map<varchararray<date>>]         _col1 : map_agg     - exchange[gather] > custkey:bigint map_agg:map<varchararray<date>>         - aggregate(final)[custkey] > [custkey:bigint map_agg:map<varchararray<date>>]                 map_agg : ""map_agg""(""map_agg_25"")             - exchange[repartition] > custkey:bigint map_agg_25:varbinary                 - aggregate(partial)[custkey] > [custkey:bigint map_agg_25:varbinary]                         map_agg_25 : ""map_agg""(""orderpriority"" ""array_agg"")                     - aggregate(final)[custkey orderpriority] > [custkey:bigint orderpriority:varchar array_agg:array<date>]                             array_agg : ""array_agg""(""array_agg_24"")                         - exchange[repartition] > custkey:bigint orderpriority:varchar array_agg_24:varbinary                             - aggregate(partial)[custkey orderpriority] > [custkey:bigint orderpriority:varchar array_agg_24:varbinary]                                     array_agg_24 : ""array_agg""(""orderdate"")                                 - tablescan[tpch orders:sf001 original constrainttrue] > [custkey:bigint orderdate:date orderpriority:varchar]                                         custkey : tpch 1                                         orderdate : tpch 4                                         orderpriority : tpch 5(1 row)``` || @yaoxin226 that makes sense thanks for the details! i think we should remove the boolean parameters and just have it be `multimap_agg(k v) -> map<k array<v>>` which includes duplicates and does not sort the values@martint or @electrum could you approve the signature? || @cberner i agree with you the function looks neat without the boolean parameterswe added this parameter is because - little performance gain  - after we have build the multimap we will visit the array multiple times each time we need to scan the whole array to get the min/max/distinct_count value with the array already distinct sorted we can directly get the max and min- lack of `array_max` `array_min`   - we need to add these two functions to get the min/max of the arraysql comparison - multimap_agg **with** distinct and sort``` sqlselect     custkey     map[high][0] first_high_order     map[high][-1] last_high_orderfrom (    select custkey multimap_agg(orderpriority orderdate true true) map    from tpchtinyorders    group by custkey)```- multimap_agg **without** distinct and sort``` sqlselect     custkey     array_max(map[high]) first_high_order     array_min(map[high]) last_high_order     cardinality(distinct map[high]) distinct_high_order_sizefrom (    select custkey multimap_agg(orderpriority orderdate) map    from tpchtinyorders    group by custkey)``` || @cberner @martint @electrum could we finalize the signature `multimap_agg(k v) -> map<k array<v>>`? then i will update the code accordingly || @yaoxin226 that signature looks ok to me || this pr is ready to be reviewed || great! im out of the country at the moment but i should have time to review this next week  || thanks @cberner  have a nice trip || rebased on the latest master || ping || sorry this is still on my list of things to review but ive been busy with a bunch of other code reviews || totally understand take your time || this is going to conflict with  which i want to merge soon can you rebase your pr on top of that one? || the approach looked reasonable to me let me know when youve rebased on @haozhun s branch and ill review this more thoroughly || thanks for the review is haozhuns branch relatively stable for this pr to rebase on now? || i think so ya at least the parts related to functions should be the main change is that now arrays/maps use `block` as their native container type instead of `slice` || @cberner rebased on current master || i think the test failure is related to #3381  || merged thanks! sorry that took so long last couple months have been super busy || @cberner thanks for your review really glad it has been merge! seems like you have change some code before merge i will take a look at the changes and learn from it || ";;;;0;1;;
2942;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;moe sync;;;0;pull 1;;;;;;0;1;;
3050;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;moe sync;this code has been reviewed and submitted internally. feel free to discuss on the pr and we can submit follow-up changes as necessary.  commits: ===== <p> correct a typo in immutablebimaptest.  2c5dd53d4a4830bf6cb3a50f26d3d73429932833;;0;moe sync;this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> correct a typo in immutablebimaptest2c5dd53d4a4830bf6cb3a50f26d3d73429932833;;;;;1;1;correct a typo in immutablebimaptest-------------created by moe: https://githubcom/google/moemoe_migrated_revid187268361;
3050;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;moe sync;this code has been reviewed and submitted internally. feel free to discuss on the pr and we can submit follow-up changes as necessary.  commits: ===== <p> correct a typo in immutablebimaptest.  2c5dd53d4a4830bf6cb3a50f26d3d73429932833;;0;enable streaming results for jdbc connector #2960;proposed solution for customisation database #2960;;;;;0;1;;
3050;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;moe sync;this code has been reviewed and submitted internally. feel free to discuss on the pr and we can submit follow-up changes as necessary.  commits: ===== <p> correct a typo in immutablebimaptest.  2c5dd53d4a4830bf6cb3a50f26d3d73429932833;;0;backpressure support for most bufferuntilsubscriber use places;ive added backpressure support to `bufferuntilsubscriber` however the internal workings of `groupby` were in conflict with my clean approach therefore i kept the original `bufferuntilsubscriber` use in `groupby` and added `bufferuntilsubscriberv2` and made the various `window()` operators use it insteadive also added a two unbounded spsc queue implementations from jctools which can reduce the allocation-rate of these linked-node queuesthe problem with `groupby` seems to be that it sets a producer on the `subscriber` before it is actually subscribed to the `bufferuntilsubscriber` the v2 however sets its on producer to support proper replay and kicks out the original coordinator producer i dont know how to make the two work together yet maybe the `groupby` has to be rewritten from scratch and inline the group backpressure support request coordination and queueing more directly an alternative might be to expose the single child request amount in `bufferuntilsubscriber` through a callback to the group somehow;"holding off on this  its is a non-trivial change and i dont have time to review it right now and yes `groupby` is a very tricky one to solve we have rewritten it a couple times already there are some very tricky edge cases such as ""time gap"" and head-of-line-blocking  || @akarnokd im about to review this with @stevegury but before we do do you want anything changed on this? it does need to be rebased at a minimum if its still all valid || no changes planned to this i need to manually reapply the changes to a fresh version because my eclipses git is broken maybe it is better to review a mergeable version instead of this || see #3150 || ";;;;0;1;;
3056;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;moe sync;this code has been reviewed and submitted internally. feel free to discuss on the pr and we can submit follow-up changes as necessary.  commits: ===== <p> traverser.java: add support for multiple start nodes.  update documentation (in this file and in graphs_explained.md) relating to behavior and definitions of equals() and hashcode().  relnotes= common.graph.traverser : add support for traversing from multiple start nodes.  9dce1c3302ec118f73921c9319e7822114325a2d  -------  <p> fix list<foo<?>>.issubtypeof(list<foo<?>>).  this used to return false because issubtypeof() does a wildcard capture of the foo<?> type parameter  turning it into foo<c>  and then list<foo<c>> isn t a subtype of list<foo<?>>.  wildcard capture is needed for resolving types at invariant or contravariant elements (fields and parameters). but for resolving in covariant context  wildcard should remain as is.  i found this when trying to add issubtypeof() precondition check in getsubtype()  in response to   relnotes=typetoken.issubtypeof() bug fix.  9918890013cd07ff00074a28afefd3af2c00c515  -------  <p> add issubtypeof()  pre -condition check before getsubtype() returns.  we have to call it before return because before type variable substitution  issubtypeof() can t apply.  see   relnotes=validate  typetoken.getsubtype() .  f6d1461e2579f05f1106892c817681a61fc401ae;;0;moe sync;"this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> traverserjava: add support for multiple start nodesupdate documentation (in this file and in graphs_explainedmd) relating to behavior and definitions of equals() and hashcode()relnotes`commongraphtraverser`: add support for traversing from multiple start nodes9dce1c3302ec118f73921c9319e7822114325a2d-------<p> fix list<foo<?>>issubtypeof(list<foo<?>>)this used to return false because issubtypeof() does a wildcard capture of the foo<?> type parameter turning it into foo<c> and then list<foo<c>> isnt a subtype of list<foo<?>>wildcard capture is needed for resolving types at invariant or contravariant elements (fields and parameters) but for resolving in covariant context wildcard should remain as isi found this when trying to add issubtypeof() precondition check in getsubtype() in response to  bug fix9918890013cd07ff00074a28afefd3af2c00c515-------<p> add issubtypeof() ""pre""-condition check before getsubtype() returnswe have to call it before return because before type variable substitution issubtypeof() cant applysee  `typetokengetsubtype()`f6d1461e2579f05f1106892c817681a61fc401ae";;;;;1;1;"add issubtypeof() ""pre""-condition check before getsubtype() returnswe have to call it before return because before type variable substitution issubtypeof() cant applysee  `typetokengetsubtype()`-------------created by moe: https://githubcom/google/moemoe_migrated_revid187777105";
3056;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;moe sync;this code has been reviewed and submitted internally. feel free to discuss on the pr and we can submit follow-up changes as necessary.  commits: ===== <p> traverser.java: add support for multiple start nodes.  update documentation (in this file and in graphs_explained.md) relating to behavior and definitions of equals() and hashcode().  relnotes= common.graph.traverser : add support for traversing from multiple start nodes.  9dce1c3302ec118f73921c9319e7822114325a2d  -------  <p> fix list<foo<?>>.issubtypeof(list<foo<?>>).  this used to return false because issubtypeof() does a wildcard capture of the foo<?> type parameter  turning it into foo<c>  and then list<foo<c>> isn t a subtype of list<foo<?>>.  wildcard capture is needed for resolving types at invariant or contravariant elements (fields and parameters). but for resolving in covariant context  wildcard should remain as is.  i found this when trying to add issubtypeof() precondition check in getsubtype()  in response to   relnotes=typetoken.issubtypeof() bug fix.  9918890013cd07ff00074a28afefd3af2c00c515  -------  <p> add issubtypeof()  pre -condition check before getsubtype() returns.  we have to call it before return because before type variable substitution  issubtypeof() can t apply.  see   relnotes=validate  typetoken.getsubtype() .  f6d1461e2579f05f1106892c817681a61fc401ae;;0;replace tabs with spaces when showing query text in ui;;@electrum i want to take this task but can you elaborate a little bit more about the issue? when i browse ui i see query not formatted at all is summary section (query printed as a single line) so there is no tabs at all? || this tasks is for the query detail page when the original query has tabs in it || i think that to solve this issue i need to use parser to format the query because i cannot just replace all the tabs to spaces as tabs could take part in query like:```select * from t wher v  \t``` ||;;;;0;1;;
3056;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;moe sync;this code has been reviewed and submitted internally. feel free to discuss on the pr and we can submit follow-up changes as necessary.  commits: ===== <p> traverser.java: add support for multiple start nodes.  update documentation (in this file and in graphs_explained.md) relating to behavior and definitions of equals() and hashcode().  relnotes= common.graph.traverser : add support for traversing from multiple start nodes.  9dce1c3302ec118f73921c9319e7822114325a2d  -------  <p> fix list<foo<?>>.issubtypeof(list<foo<?>>).  this used to return false because issubtypeof() does a wildcard capture of the foo<?> type parameter  turning it into foo<c>  and then list<foo<c>> isn t a subtype of list<foo<?>>.  wildcard capture is needed for resolving types at invariant or contravariant elements (fields and parameters). but for resolving in covariant context  wildcard should remain as is.  i found this when trying to add issubtypeof() precondition check in getsubtype()  in response to   relnotes=typetoken.issubtypeof() bug fix.  9918890013cd07ff00074a28afefd3af2c00c515  -------  <p> add issubtypeof()  pre -condition check before getsubtype() returns.  we have to call it before return because before type variable substitution  issubtypeof() can t apply.  see   relnotes=validate  typetoken.getsubtype() .  f6d1461e2579f05f1106892c817681a61fc401ae;;0;new experimental operator to switch the types on the completion of empty observables;for the issue #3037 a new operator that let consumer of an empty observable tie additional work to follow after the completion;"seems like an ok idea to me but `switchempty` and  `switchifempty` are confusing to distinguish though i like them being close together alphabetically for discoverability || aah @abersnaze i did not see that you have the changes here for #3037 i have created a pr #3060  for it too although it contains an additional operator `mergeerror` || i implemented `switchempty` as you call it as a `switchmap()concatwith()` is there a reason why that does not work? || i tried to reuse the switchifempty and merge the switchempty functionality but couldnt get the generics to work  i decided to copy and edit because switchifempty looked complicated enough with backpressure support```****************** 6579 ****          @override          public void oncompleted() {!             if (!empty) {!                 childoncompleted()!             } else if (!childisunsubscribed()) {                  subscribetoalternate()              }          }--- 6476 ----          @override          public void oncompleted() {!             if (!childisunsubscribed()) {                  subscribetoalternate()              }          }****************** 8592 ****          @override          public void onnext(t t) {!             empty  false!             childonnext(t)              arbiterproduced(1)          }      }--- 8288 ----          @override          public void onnext(t t) {!             childonerror(new runtimeexception(""switchempty used on a non empty observable possible fix is to add ignoreelements() before switchempty()""))              arbiterproduced(1)          }      }```the overhead of the switchmap and concatwith seem pretty high for such a constrained use case || @abersnaze i updated my pr with the things we discussed offline and it now has custom operator implementations optimized for this usecase where the source `observable` is never expected to emit any item || closing out so we can merge these efforts with  after agreeing upon naming:  || ";;;;0;1;;
3057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;moe sync;this code has been reviewed and submitted internally. feel free to discuss on the pr and we can submit follow-up changes as necessary.  commits: ===== <p> change all instances of encoded.subsequence() to use a simple start index offset  which reduces the java memory footprint for trieparser by at at least 130 mbs. this is because the original call to subsequence() would generate a new string on the heap for each call  where as just using an offset avoids the need to generate a new string all together.  this memory enhancement was found while investigating flakiness issues for some tests which had the same root cause of: java.lang.outofmemoryerror: gc overhead limit exceeded  mostly in the trieparser class.  100-test runs at original code: memory usage - maximum: 503mib (527 769 600 bytes) - average: 388mib (407 225 077 bytes)  100-test runs with my changes: memory usage - maximum: 316mib (325 271 552 bytes) - average: 221mib (239 355 320 bytes)  at maximum: 187 mb saved at average: 167 mb saved  relnotes=reduced heap memory usage when parsing domain names  521c77000b665d5077524842cc0902583015043f;;0;moe sync;this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> change all instances of encodedsubsequence() to use a simple start index offset which reduces the java memory footprint for trieparser by at at least 130 mbs this is because the original call to subsequence() would generate a new string on the heap for each call where as just using an offset avoids the need to generate a new string all togetherthis memory enhancement was found while investigating flakiness issues for some tests which had the same root cause of: javalangoutofmemoryerror: gc overhead limit exceeded mostly in the trieparser class100-test runs at original code:memory usage- maximum: 503mib (527769600 bytes)- average: 388mib (407225077 bytes)100-test runs with my changes:memory usage- maximum: 316mib (325271552 bytes)- average: 221mib (239355320 bytes)at maximum: 187 mb savedat average: 167 mb savedrelnotesreduced heap memory usage when parsing domain names521c77000b665d5077524842cc0902583015043f;;;;;1;1;change all instances of encodedsubsequence() to use a simple start index offset which reduces the java memory footprint for trieparser by at at least 130 mbs this is because the original call to subsequence() would generate a new string on the heap for each call where as just using an offset avoids the need to generate a new string all togetherthis memory enhancement was found while investigating flakiness issues for some tests which had the same root cause of: javalangoutofmemoryerror: gc overhead limit exceeded mostly in the trieparser class100-test runs at original code:memory usage- maximum: 503mib (527769600 bytes)- average: 388mib (407225077 bytes)100-test runs with my changes:memory usage- maximum: 316mib (325271552 bytes)- average: 221mib (239355320 bytes)at maximum: 187 mb savedat average: 167 mb savedrelnotesreduced heap memory usage when parsing domain names-------------created by moe: https://githubcom/google/moemoe_migrated_revid188111053;
