pr;DB;Interpreter;Logging;Thread;Data Structure;DevOps;i18n;Logic;Microservices;ML;Test;Search;IO;UI;Parser;Security;Cloud;Big Data;App;GIS;Util;NLP;APM;Network;Title;Body;prIssue;issue;issueTitle;issueBody;issueComments;issueTitleLink;issueBodyLink;issueCommentsLink;isPR;isTrain;commitMessage;Comments
2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;pull request: load default plugins dynamically;to be able to include mockito source in the android open source project  i d like to be able to build a subset of mockito which doesn t rely on cglib. this removes the compile-time dependency on the default mockmaker implementation  which naturally includes references to cglib.;;0;pull request: load default plugins dynamically;to be able to include mockito source in the android open source project id like to be able to build a subset of mockito which doesnt rely on cglib this removes the compile-time dependency on the default mockmaker implementation which naturally includes references to cglib;hey ianthe pull request makes sense for me - i will merge itcan you tell me a little bit what does it mean when mockito is included in the android open source project? is it a classic fork of the sources and afterwards android guys would maintain the sources in android osp whereas our team would keep maintaining sources at github?cheers and thanks a lot for the pull request! ||;;;;1;1;load default plugins dynamically;
3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;pull request: remove class mockable test from classimposterizer;to be able to include mockito source in the android open source project  we need to be able to build a subset of mockito which doesn t rely on cglib. this second part rearranges the code related to checking whether a class can be mocked. i ve moved the logic to mockutil  where it could later be moved to the mockmaker where it really belongs.  my apologies - i can t see how to get github to make a pull request just with my second change  so this seems to include both of my changes.;;0;pull request: remove class mockable test from classimposterizer;to be able to include mockito source in the android open source project we need to be able to build a subset of mockito which doesnt rely on cglib this second part rearranges the code related to checking whether a class can be mocked ive moved the logic to mockutil where it could later be moved to the mockmaker where it really belongsmy apologies - i cant see how to get github to make a pull request just with my second change so this seems to include both of my changes;this change is fine too it only applies to the internal design may i know whats the motivation? is it because you want to easily exclude the classimposterizer when forking sources to aop?cheers & thanks again for the pull request! ||;;;;1;1;remove class mockable test from classimposterizerclassimposterizer is not otherwise used when a custom mockmaker is used thischange avoids calling to classimposterizer from the api portions of mockitowhich are used with any mockmaker;
5;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;mock serialization/deserialization across classloader/jvm;this pull request will enable mocks to be serialized in a certain way  that will allow them to be serialized and especially deserialized outside the classloader the mock was created.  at the moment it s enabled automatically when using  withsettings().serializable() .  it still require to have mockito on the classpath of the jvm classloader where it is deserialized.;;0;mock serialization/deserialization across classloader/jvm;this pull request will enable mocks to be serialized in a certain way that will allow them to be serialized and especially deserialized outside the classloader the mock was createdat the moment its enabled automatically when using `withsettings()serializable()`it still require to have mockito on the classpath of the jvm classloader where it is deserialized;;;;;1;1;fixing the message of the exceptions;
7;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;refactoring: remove unused import;hi   classimposterizer is no longer used in returnsmocks  this patch allows us in the android open source project to build returnsmocks without building classimposterizer (which ultimately depends on cglib-and-asm  which we can t use.)  thanks  ian;;0;refactoring: remove unused import;hiclassimposterizer is no longer used in returnsmocks this patch allows us in the android open source project to build returnsmocks without building classimposterizer (which ultimately depends on cglib-and-asm which we cant use)thanksian;;;;;1;1;remove unused import;
10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;new  mockingdetails.getinvocations  method for inspecting what happened with the mock;a simple implementation for [issue 178](  modified the mockingdetails api to expose a getinvocations() method. this uses the invocation container from the mockutil object to return a collection of invocations (which is in the org.mockito.invocation package). this enables users to debug and see invocations on a given mock and use the debugger (or code) to see arguments passed  the target method  etc.;;0;"new ""mockingdetailsgetinvocations"" method for inspecting what happened with the mock";a simple implementation for [issue 178]( the mockingdetails api to expose a getinvocations() method this uses the invocation container from the mockutil object to return a collection of invocations (which is in the orgmockitoinvocation package) this enables users to debug and see invocations on a given mock and use the debugger (or code) to see arguments passed the target method etc;looks good thanks for the pull request || happy to help ill look for something else to fix next :)on wed nov 13 2013 at 2:52 am brice dutheil notifications@githubcomwrote:> looks good thanks for the pull request> > —> reply to this email directly or view it on github  || heyim just reviewing closed pr before the release im thinking that it might be better to return invocationonmock type instead of invocation by the getinvocations() the main reason is that invocation interface is more for devs who extend mockito and this api contains some methods that change the state of the mock and his behavior so the users may potentially hurt themselves by using those methodsmy question is do you need the getinvocations() to return invocation objects or invocationonmock should be enough? || im in a project and we wanted to use the `invocation` to see if the mock was already stubbed and if it was matching another `invocationonmock` still im not sure if well pursue that way for other reasonsanyway i believe you are right it feels like it is kind of internal stuff maybe we could create a public api to expose some of these details maybe even the real mocked type (avoiding to check ourselves if its a superclass or interfaces) ? || if theres a use case for using invocation (and apparently it is) letsuse it perhaps we could elevate some of the methods to theinvocationonmock type (eg all the sensible getters avoid exposing thesetters) maybe maybe we should just give the invocation to the world andsee what happensthanks for the feedbackon mon jan 20 2014 at 6:38 pm brice dutheil notifications@githubcomwrote:> im in a project and we wanted to use the invocation to see if the mock> was already stubbed and if it was matching another invocationonmock> still im not sure if well pursue that way for other reasons> > anyway i believe you are right it feels like it is kind of internal> stuff maybe we could create a public api to expose some of these details> maybe event the real mocked type (avoiding to check ourselves if its a> superclass or interfaces) ?> > —> reply to this email directly or view it on github ## szczepan faberprincipal engineer@gradle founder@mockito ||;;;;1;1;changes for issue 178 change to defaultmockingdetail and a simple test;
14;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;deprecated timeout().never()  in line with timeout().atmost();timeout().atmost() is deprecated due to issue 235:   these exact same arguments apply to never()  both verification modes are extremely likely to create assertions that immediately pass  and do not test what they re intended to test. this patch therefore deprecates never() similarly.  fairly shortly i m also planning on implementing verify(mock  during(x).[])  as a counterpart to timeout which always waits the full time  as discussed in issue 347:  this should allow for the kind of assertion behaviour that timeout().never() implies.  (also some minor whitespace tidy up and spelling corrections);;0;deprecated timeout()never() in line with timeout()atmost();timeout()atmost() is deprecated due to issue 235:  exact same arguments apply to never() both verification modes are extremely likely to create assertions that immediately pass and do not test what theyre intended to test this patch therefore deprecates never() similarlyfairly shortly im also planning on implementing verify(mock during(x)) as a counterpart to timeout which always waits the full time as discussed in issue 347:  this should allow for the kind of assertion behaviour that timeout()never() implies(also some minor whitespace tidy up and spelling corrections);updated to rename the reporter method ill rebase the other 2 onto this in a sec ||;;;;1;1;changed most() + timeout() warning reporter name to include never() toopreviously it was used by never() but the actual method name didnt match up;
15;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;verification with timout measures time more more accurately;the previous timeout implementation doesn t measure time correctly: it only counts time spent intentionally sleeping  thus losing time on anything that happens when not sleeping (both the actual verification time  and time spent in other threads during verification)  and gaining time if any interruptedexceptions occur.  typically this means that timeout()s actually run for a longer than they re intended to. the fixed test demonstrates this well  previous the timeout was set to exactly the minimum possible time the sleeps in the code alone could ve taken  ignoring all processing time  and this test consistently passed. after the changes it now fails (as it probably should).  this patch fixes that by just measuring the time directly. i ve also fixed some variables names that were slightly annoying  and that now-failing test has a 500ms buffer before it times out.;;0;verification with timout measures time more more accurately;the previous timeout implementation doesnt measure time correctly: it only counts time spent intentionally sleeping thus losing time on anything that happens when not sleeping (both the actual verification time and time spent in other threads during verification) and gaining time if any interruptedexceptions occurtypically this means that timeout()s actually run for a longer than theyre intended to the  test demonstrates this well previous the timeout was set to exactly the minimum possible time the sleeps in the code alone couldve taken ignoring all processing time and this test consistently passed after the changes it now fails (as it probably should)this patch fixes that by just measuring the time directly ive also fixed some variables names that were slightly annoying and that now-failing test has a 500ms buffer before it times out;ive updated this and rebased its now got some more javadoc and some timeout test improvements (dropping the magic number and more explicitly handling potential test overhead to eliminate timeout test races and some other similar test improvements i noticed along the way) as you mentioned at  ||;;;;1;1;minor tidyup & improvement of timeout() tests;
21;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;improved behavior of equalswithdelta with regards to null handling;added check to the equalswithdelta matcher   if the actual and expected objects are the same.;;0;improved behavior of equalswithdelta with regards to null handling;added check to the equalswithdelta matcher  if the actual and expected objects are the same;   if for some reasons you do not want this commit just say and ill improve or close it (its ok) || sorry i didnt have the time to review it the pr is ok thanks for the interest ||;;;;1;1;added check to the equalswithdelta matcher  if the actual and expected objects are the same;
22;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;improved the javadoc example of custom answer implementation;so a developer can just copy and paste code from javadocs  snippet to have the expected result.;;0;improved the javadoc example of custom answer implementation;so a developer can just copy and paste code from javadocs snippet to have the expected result;  ;;;;1;1;answer javadocs correctionso a developer can just copy and paste code from javadocs snippet to have the expected result;
24;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;avoided classloader issue when testing in eclipse plugins environment;;;0;avoided classloader issue when testing in eclipse plugins environment;;;;;;1;1;issue 453 : introduced a simple classloader builder for loading some classes in isolation also explained why we need different classpaths for this testthis last part could be abbreviate if we can load our test classes in memory;
