API,Expert-Fabi,Expert-Fabio,"Consultar APIs, namespace etc"
misc,Thread,Thread,https://docs.google.com/spreadsheets/d/1NTmO1aJnGkobN_nMNuqyRYhX-nazFVn3Uevt2lOOVIQ/edit#gid=406394501
libsvm,ML,ML,
esult,Lixo,Lixo,O objetivo é tentar agrupar os nomes na coluna A em domínios. Se possível tentar criar 10-20 domínios diferentes no máximo.
airhacks,UI,UI,
jsinterop,Programming,Logic,
datastax,DB,DB,
r,Lixo,Lixo,
security,Security,Security,
awt,UI,UI,
bson,IO,IO,
objenesis,Programming,Logic,
kudu,Data enginnering,Big Data,
math,Util,Util,
ietf,Security,Security,
architecture,App,App,
presto,Db,DB,
cli,Util,Util,
controlsfx,UI,UI,
joda,Util,Util,
xmlunit,IO,IO,
hudi,Util,Util,
zookeeper,Microservices,Microservices,
parquet,Util,DB,
testfx,Test,Test,
auth,Security,Security,
format,Util,Util,
client,Network,Network,
esotericsoftware,App,App,
javafx,UI,UI,
w3c,Util,Network,
reactfx,IO,IO,
oOpen 2,Lixo,Lixo,
model,Logic,Logic,
cloud,Cloud,Cloud,
regions,Cloud,Cloud,
xml,IO,IO,
fxmisc,IO,IO,
jdbi,DB,DB,
formats,Lixo,Lixo,
mockitousage,Test,Test,
avro,IO,IO,
caliper,Util,Util,
nt here,Lixo,Lixo,
postgresql,DB,DB,
undefined,Lixo,Lixo,
hive,Data enginnering,Big Data,
h2,DB,DB,
preferences,Util,Util,
locationtech,GIS,GIS,
pcollections,Data Structure,Data Structure,
lang,i18n,i18n,
http,Network,Network,
json,IO,IO,
curator,Data engineering,Big Data,
j2objc,DB,DB,
junit,Test,Test,
au,Lixo,Lixo,
JSci,Util,Util,
spark,Data engineering,Big Data,
assertj,Test,Test,
elemental2,Util,Util,
sqlserver,DB,DB,
fusesource,Network,Network,
thirdparty,Security,Security,
applicationinsights,Util,APM,
it,Lixo,Lixo,
auto,Util,Util,
text,Util,Util,
thrift,Network,Network,
redis,DB,DB,
nt sense,Lixo,Lixo,
slf4j,log,Logging,
common,Utils,Util,
support,Util,Util,
testutils,Test,Test,
checkerframework,Programming,Logic,
testcontainers,Test,Test,
logging,Logging,Logging,
services,Cloud,Cloud,
cassandra,DB,DB,
antlr,Programming,Logic,
jsoup,Util,Util,
objectweb,Programming,Logic,
myanmartools,i18n,i18n,
easymock,Programming,Logic,
tartarus,NLP,NLP,
tools,Util,Util,
github,App,DevOps,
oracle,DB,DB,
log4j,Logging,Logging,
time,Util,Util,
openjdk,Programming,interpreter,
info,NLP,NLP,
migrations,Setup,Setup,
errorprone,Programming,Logic,
spark_project,Data engineering,Big Data,
accumulo,Data engineering,Big Data,
jline,IO,IO,
source,Lixo,Lixo,
druid,Data enginnering,Big Data,
hamcrest,Test,Test,
event,Cloud,Cloud,
pinot,Data Engineering,Big Data,
this file,Lixo,Lixo,
intellij,Utils,App,
gwt,UI,UI,
drift,Util,Util,
nio,IO,IO,
metrics,Cloud,APM,
tika,NLP,NLP,
inject,Programming,Logic,
util,Utils,Util,
gui,UI,UI,
net,Network,Network,
mongodb,DB,DB,
kafka,Network,Network,
logic,Programming,Logic,
sonatype,DevOps,DevOps,
star,Programming,Logic,
pdfbox,IO,IO,
spotify,DevOps,DevOps,
osgi,Programming,Logic,
javax,Programming,interpreter,
mockito,Test,Test,
jfoenix,UI,UI,
jgrapht,Utils,Util,
io,IO,IO,
alluxio,Data Enginnering,Big Data,
fasterxml,Utils,Util,
weakref,Util,Util,
impl,Programming,Logic,
mysql,DB,DB,
scala,Programming,interpreter,
sql,DB,DB,
de,Lixo,Lixo,
search,Util,Util,
skife,DB,DB,
okhttp3,Network,Network,
tngtech,Test,Test,
reflections,Utils,interpreter,
teradata,DB,DB,
testng,Test,Test,
commons,Utils,interpreter,
mockitoutil,Test,Test,
mashape,Cloud,Cloud,
hadoop,Data Engineering,Big Data,
management,OS,OS,
airlift,Programming,DevOps,
re2j,Util,Util,
jbibtex,IO,IO,
xmpbox,IO,IO,
elasticsearch,Data Engineering,Big Data,
esri,GIS,GIS,
reactivestreams,IO,IO,
opentest4j,Test,Test,
